Layer,Head,Contribution
7,4,-0.39658409357070923
17,14,-0.3985825181007385
8,0,-0.4151039123535156
1,1,-0.4175735414028168
14,10,-0.4207887649536133
19,8,-0.4217611253261566
9,15,-0.43656617403030396
31,4,-0.4380955696105957
30,1,-0.43911516666412354
17,2,-0.4402680993080139
21,11,-0.4421665668487549
28,7,-0.4428776204586029
18,14,-0.449805349111557
26,1,-0.4509128928184509
8,15,-0.4514335095882416
18,3,-0.4609018862247467
2,1,-0.46577587723731995
14,4,-0.4659539461135864
10,15,-0.4676080048084259
17,15,-0.4696137607097626
24,11,-0.4728427231311798
22,6,-0.47355422377586365
22,4,-0.47477617859840393
16,10,-0.47758907079696655
16,13,-0.4952579140663147
15,5,-0.4976480305194855
15,11,-0.4985998272895813
2,4,-0.5033809542655945
9,13,-0.503585934638977
15,2,-0.5069544315338135
29,7,-0.5075499415397644
12,15,-0.5133554339408875
8,13,-0.5141929388046265
30,9,-0.5207545161247253
4,10,-0.5207948684692383
16,11,-0.5275473594665527
29,6,-0.5312142372131348
25,0,-0.5331034064292908
23,6,-0.5336194038391113
24,4,-0.5441011190414429
16,12,-0.5505309700965881
7,1,-0.5511192083358765
